시군코드,시군명,사업장명,소재지지번주소,소재지도로명주소,인허가일자,영업상태명,소재지우편번호,약국영업면적,인허가구분명,지정일자,WGS84경도,WGS84위도
41360,남양주시,메디칼약국,경기도 남양주시 지금동 129번지 56호 용진빌딩 1층,"경기도 남양주시 경춘로 450, 1층 (지금동, 용진빌딩)",20010411,운영중,472933,0,약국,20010411,127.16441618641983,37.60807257529915
41360,남양주시,한마음약국,경기도 남양주시 금곡동 153번지 1호 센타프라자  302-1호,"경기도 남양주시 금곡로 72, 302-1호 (금곡동, 센타프라자)",20010423,운영중,472802,0,약국,20010423,127.21318650265924,37.63472860761972
41360,남양주시,365드림약국,"경기도 남양주시 호평동 638번지 1층 3, 4호","경기도 남양주시 늘을1로16번길 25, 1층 3, 4호 (호평동, 성보빌딩)",20120120,운영중,472120,71.5,약국,20120120,127.24290060320709,37.65407472390387
41360,남양주시,온누리양지약국,경기도 남양주시 오남읍 양지리 95번지 5호,경기도 남양주시 오남읍 진건오남로 792,20020401,운영중,472881,0,약국,20020401,127.20372525363427,37.69812740823887
41360,남양주시,건강약국,경기도 남양주시 화도읍 묵현리 290번지 1호,경기도 남양주시 화도읍 묵현로 15,20030328,운영중,472846,0,약국,20030328,127.2896166864987,37.657573199142
41360,남양주시,참사랑약국,경기도 남양주시 퇴계원면 퇴계원리 293번지 8호,경기도 남양주시 퇴계원면 퇴계원로46번길 1,20020416,운영중,472822,0,약국,20020416,127.14195500454458,37.65050571795219
41360,남양주시,청학e-조은약국,경기도 남양주시 별내면 청학리 413번지 3호 삼화빌딩 1층,경기도 남양주시 별내면 청학로68번길 13 (삼화빌딩 1층),20030228,운영중,472811,0,약국,20030228,127.1184048957709,37.70868443906343
41360,남양주시,퇴계원종로약국,경기도 남양주시 퇴계원면 퇴계원리 218번지 133호,경기도 남양주시 퇴계원면 퇴계원로 16,20041008,운영중,472821,0,약국,20041008,127.14087234546176,37.64845277553629
41360,남양주시,희망찬약국,경기도 남양주시 도농동 302번지 52호,경기도 남양주시 미금로 55 (도농동),20050106,운영중,472913,0,약국,20050106,127.15212030550089,37.6097360723069
41360,남양주시,금곡온누리약국,경기도 남양주시 금곡동 158번지 59호,경기도 남양주시 경춘로995번길 1 (금곡동),20050228,운영중,472804,0,약국,20050228,127.21378374957615,37.63598169641747
41360,남양주시,금곡중앙약국,경기도 남양주시 금곡동 416번지 1호 금곡프라자 106호,"경기도 남양주시 사릉로 14, 106호 (금곡동, 금곡프라자)",20050829,운영중,472807,0,약국,20050829,,
41360,남양주시,메디칼3층약국,"경기도 남양주시 평내동 579번지 3호 엠2프라자 305호, 306호","경기도 남양주시 평내로29번길 49, 305,306호 (평내동, M2플라자)",20051125,운영중,472938,0,약국,20051125,127.23479969992654,37.64668506086617
41360,남양주시,상쾌한숲속약국,경기도 남양주시 평내동 578번지 1호 다모아프라자 105호,"경기도 남양주시 경춘로1256번길 6, 105호 (평내동, 다모아프라자)",20060124,운영중,472938,0,약국,20060124,127.2341635873499,37.64618537931214
41360,남양주시,미래약국,경기도 남양주시 호평동 640번지 2호 씨에치리베로 406호,"경기도 남양주시 늘을2로 20, 406호 (호평동, 씨에치리베로)",20060308,운영중,472120,0,약국,20060308,127.24407789699228,37.6550741840735
41360,남양주시,미소약국,경기도 남양주시 진접읍 장현리 644번지 3호,"경기도 남양주시 진접읍 장현로 64, 1층 (일흥빌딩)",20060525,운영중,472865,0,약국,20060525,127.18030681054918,37.71635799432519
41360,남양주시,은솔약국,경기도 남양주시 도농동 294번지 10호,경기도 남양주시 미금로 22 (도농동),20060530,운영중,472913,0,약국,20060530,127.15326025074154,37.60671448315569
41360,남양주시,신굿모닝약국,경기도 남양주시 오남읍 오남리 477번지 1호,경기도 남양주시 오남읍 진건오남로 512,20060612,운영중,472883,0,약국,20060612,127.21005013946042,37.67963910216253
41360,남양주시,시네마온누리약국,경기도 남양주시 호평동 640번지 메이시네마타워 409호,"경기도 남양주시 늘을2로 26, 409호 (호평동, 메인시네마타워)",20060731,운영중,472120,0,약국,20060731,127.24407789699228,37.6550741840735
41360,남양주시,서울약국,경기도 남양주시 평내동 118번지 2호,경기도 남양주시 경춘로1308번길 16 (평내동),20060823,운영중,472936,0,약국,20060823,127.23944999059015,37.65091753402897
41360,남양주시,참빛약국,경기도 남양주시 평내동 579번지 2호 오렌지웰빙타워 401-1호,"경기도 남양주시 경춘로1256번길 9, 401-1호 (평내동, 오렌지웰빙타워)",20060907,운영중,472938,0,약국,20060907,127.23479969992654,37.64668506086617
41360,남양주시,소중한약국,경기도 남양주시 퇴계원면 퇴계원리 268번지 11호,경기도 남양주시 퇴계원면 퇴계원로 66,20060920,운영중,472744,43.8,약국,20060920,127.14284711759932,37.6524399509189
41360,남양주시,유명약국,"경기도 남양주시 화도읍 마석우리 292번지 17호 101, 102호","경기도 남양주시 화도읍 마석중앙로 73, 101, 102호",20061109,운영중,472845,0,약국,20061109,127.30723020231521,37.65264893724167
41360,남양주시,호평중앙약국,경기도 남양주시 호평동 617번지 1호 금강프라자  104호,"경기도 남양주시 늘을3로 65-12, 104호 (호평동, 금강프라자)",20071105,운영중,472120,41.44,약국,20071105,127.24788919217458,37.66024867269876
41360,남양주시,진건성심약국,경기도 남양주시 진건읍 용정리 794번지 23호,경기도 남양주시 진건읍 사릉로 397,20071116,운영중,472834,0,약국,20071116,127.17774053910976,37.65617665997898
41360,남양주시,호평종로약국,경기도 남양주시 호평동 640번지 2호 CH리베로상가  118호,"경기도 남양주시 늘을2로 20, 1층 118호 (호평동, CH리베로상가)",20071217,운영중,472120,0,약국,20071217,127.24407789699228,37.6550741840735
41360,남양주시,하나로약국,경기도 남양주시 퇴계원면 퇴계원리 82-2외 2필지 염광빌딩 101호,"경기도 남양주시 퇴계원면 퇴계원로 117, 염광빌딩동 101호",20080201,운영중,472822,57.2,약국,20080201,127.14361214670691,37.6566195774105
41360,남양주시,비젼약국,경기도 남양주시 퇴계원면 퇴계원리 255번지 24호,경기도 남양주시 퇴계원면 퇴계원로 46-1,20080421,운영중,472824,0,약국,20080421,127.14205530023354,37.65080832729648
41360,남양주시,나래약국,경기도 남양주시 화도읍 마석우리 383번지 2호 중앙프라자 104호,"경기도 남양주시 화도읍 비룡로 62, 104호 (중앙프라자)",20080605,운영중,472845,0,약국,20080605,,
41360,남양주시,구남매 약국,경기도 남양주시 화도읍 묵현리 406번지 1호 혜성빌딩,경기도 남양주시 화도읍 먹갓로27번길 1 (혜성빌딩),19800401,운영중,472846,0,약국,19800401,127.27446753437692,37.65648139389376
41360,남양주시,성심약국,경기도 남양주시 퇴계원면 퇴계원리 208번지 12호,경기도 남양주시 퇴계원면 경춘북로 558,19830518,운영중,472821,0,약국,19830518,127.14604794913787,37.64815095942742
41360,남양주시,우리들약국,경기도 남양주시 평내동 121번지 2호,경기도 남양주시 경춘로 1316 (평내동),19841016,운영중,472936,0,약국,19841016,127.23857437560082,37.65066703337912
